Instrução,Tipo,Opcode,Funct3,Funct7
beq,B,1100011,000,
bne,B,1100011,001,
bge,B,1100011,101,
bgeu,B,1100011,111,
blt,B,1100011,100,
bltu,B,1100011,110,
lw,I,0000011,010,
addi,I,0010011,000,
andi,I,0010011,111,
ori,I,0010011,110,
xori,I,0010011,100,
slti,I,0010011,010,
sltiu,I,0010011,011,
slli,I,0010011,001,0000000
jalr,I,1100111,000,
jal,J,1101111,,
add,R,0110011,000,0000000
sub,R,0110011,000,0100000
and,R,0110011,111,0000000
or,R,0110011,110,0000000
xor,R,0110011,100,0000000
slt,R,0110011,010,0000000
sltu,R,0110011,011,0000000
sll,R,0110011,001,0000000
sw,S,0100011,010,
lui,U,0110111,,
auipc,U,0010111,,
